Some messages have been moved to the Issues panel.
​ Sat Jan 23 2021 00:20:26 GMT-0800 (Pacific Standard Time)
​ CovidSIMVL Mode1 and Mod2 Hybrid 35d
​ Mode 1 >13 and <36 is 75%
​ Mode 2 >28 is 95%; >13 and <29 is 75%
​ exit covidSim
​ getAsText File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ getAsText File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ Red Days changed to 9.9
​ New Hazard Radius = 1.3
​ new Mingle Factor = 7.5
​ 180I x:ageGp:fam 905:7:-1 by blue 704:5:-1 at gen342 Univ0 prob=0.761
​ 186I x:ageGp:fam 215:2:-1 by blue 230:2:-1 at gen344 Univ0 prob=0.408
​ 186I x:ageGp:fam 210:2:-1 by red 380:3:-1 at gen345 Univ0 prob=0.953
​ 186I x:ageGp:fam 686:4:-1 by red 882:6:-1 at gen345 Univ0 prob=0.659
​ 186I x:ageGp:fam 849:6:-1 by red 930:7:-1 at gen345 Univ0 prob=0.573
​ 187I x:ageGp:fam 415:3:-1 by blue 143:2:-1 at gen346 Univ0 prob=0.659
​ 187I x:ageGp:fam 828:6:-1 by red 257:2:-1 at gen346 Univ0 prob=0.344
​ 187I x:ageGp:fam 306:2:-1 by blue 829:6:-1 at gen346 Univ0 prob=0.139
​ 190I x:ageGp:fam 838:6:-1 by blue 230:2:-1 at gen347 Univ0 prob=0.555
​ 190I x:ageGp:fam 556:4:-1 by blue 247:2:-1 at gen347 Univ0 prob=0.303
​ 190I x:ageGp:fam 367:3:-1 by red 600:4:-1 at gen347 Univ0 prob=0.664
​ 193I x:ageGp:fam 598:4:-1 by red 73:1:-1 at gen348 Univ0 prob=0.669
​ 193I x:ageGp:fam 523:3:-1 by blue 84:1:-1 at gen348 Univ0 prob=0.019
​ 193I x:ageGp:fam 730:5:-1 by blue 231:2:-1 at gen348 Univ0 prob=0.932
​ 193I x:ageGp:fam 956:8:-1 by blue 434:3:-1 at gen348 Univ0 prob=0.298
​ 193I x:ageGp:fam 809:5:-1 by red 684:4:-1 at gen348 Univ0 prob=0.113
